,date,content,n_repost,n_like,n_comment,id,city,influency
34268,2024-01-01,"泪💧

@摩登兄弟刘宇宁 
20231231 江苏卫视跨年演唱会
《奉上》直拍
#刘宇宁哭了##刘宇宁奉上梦回一念关山# http://t.cn/A6lmm3a6 ​  ​ http://t.cn/A6luARid ​​​",580,960,389,刘宇宁·口碑兄弟, 中国澳门,1929
75243,2024-01-01,"#王源[超话]##王源2024龙行绛气# 
在去发周边的路上碰到一个可爱小朋友
她跑过来说“姐姐我也是王源粉丝 可以给我一张吗”
我们说“当然可以啦”
询问是否可以给她拍一张照片的时候 她很开心站过去啦[哈哈][哈哈][哈哈]
拍完照就一蹦一跳去找妈妈了 
年轻就是好呀[抱一抱][抱一抱][抱一抱]
大家新年快 ​​​",88,1618,223,PurpleMicrostar_1108王源, 中国澳门,1929
50418,2024-01-30,#TOP_ESPORTS[超话]#妹扣还是厉害，去年把这个AD培养的让我感觉有一瞬间像是新生代AD代表之一，没想到到妹扣一走原形毕露，那只能说去年EDG下路能稳住全是妹扣的功劳[doge] ​​​,2,1853,70,一箭世间情, 中国澳门,1925
79751,2024-01-01,"#林俊杰[超话]# 
20231231江苏跨年

其实我个人更偏爱这一套 帅飞了

#林俊杰跨年演出完整版# ​​​",491,1169,246,韋恩与阿舟, 中国澳门,1906
6288,2024-01-30,突然在推上重新刷到了這位以前的粉絲發的簽售咻所以想分享一下>< 真的漂亮溫柔又可愛 ​​​ http://t.cn/A6jlNhTS http://t.cn/A6jlNhTN http://t.cn/A6jlNhTR http://t.cn/A6jlNhTu,285,1540,79,Josyukkk, 中国澳门,1904
88903,2024-01-01,"#王源[超话]##生气了王源自己猜# 
@TFBOYS-王源 http://t.cn/A6luNgp4 ​​​",337,1344,159,CandyRoy糖果源, 中国澳门,1840
119950,2024-01-01,"#WTT多哈男子总决赛# WTT多哈男子總決賽抽簽（存檔）

. http://t.cn/A6l328H6 ​​​",204,1562,48,我是一隻小小小小昀, 中国澳门,1814
6273,2024-01-30,"#灿白# 💞#N年前今天的灿白#
【240130 日本会刊】🐟 灿烈篇 📝
灿白一起坐在教室后排角落位置[偷笑][偷笑]

大家上课时的样子是？(图2)
自己 ➡️ 1
伯贤 ➡️ 3

教室里的座位安排是？(图3)
自己 ➡️ 9
伯贤 ➡️ 10

大家的睡姿是怎么样？(图4)
自己 ➡️ 7
伯贤 ➡️ 9

你认为EXO里的家庭结 ​​​",340,1369,63,N年前今天的灿白, 中国澳门,1772
45636,2024-01-01,"rap star

@摩登兄弟刘宇宁 
20231231《中国智慧中国行》直拍
#刘宇宁曾舜晞汤非合唱##曾舜晞刘宇宁合唱可追# http://t.cn/A6lmBxXJ ​  ​ http://t.cn/A6luAdfA ​​​",468,907,360,刘宇宁·口碑兄弟, 中国澳门,1735
91315,2024-01-01,"#王俊凯[超话]##王俊凯江苏卫视跨年# 💙#11个王俊凯# 
20231231 江苏卫视2024跨年 新歌《你会找到我》直拍P1 提前上台候场的可爱猫猫🐱
@TFBOYS-王俊凯 http://t.cn/A6lupKbH ​​​",262,1377,75,Nirvana-Karry_涅槃站, 中国澳门,1714
70624,2024-01-01,干活//@龙猫圆滚滚:新年快乐，新的一年里顺顺利利，平安喜乐呀！我们会继续陪宁一起走花路@摩登兄弟刘宇宁,1708,0,0,泥泥小羊, 中国澳门,1708
92055,2024-01-01,"#王俊凯[超话]##王俊凯心引力大合唱# 💙#王俊凯心引力舞台好甜# 
20231231 江苏卫视2024跨年 《心引力》 直拍P5 http://t.cn/A6luQ62L ​​​",307,1310,79,Nirvana-Karry_涅槃站, 中国澳门,1696
88411,2024-01-01,摇滚区提前热场的时候有人喊了一句 “再挤巡演没票” 有一个不知道是多担还是什么说了一句王俊凯没有演唱会 笑死了。。嗯 对这句话只震慑住了小汤圆[微笑][微笑] ​​​,45,1569,76,源味白团子R, 中国澳门,1690
38280,2024-01-01,"大喜大悲一起走天涯[嘻嘻][泪]

@摩登兄弟刘宇宁 
20231231江苏卫视跨年演唱会《走天涯》直拍
#刘宇宁毛不易为啥唱这首歌##刘宇宁毛不易改编版走天涯# http://t.cn/A6lm1U2a ​  ​ http://t.cn/A6luAuef ​​​",449,887,345,刘宇宁·口碑兄弟, 中国澳门,1681
120952,2024-01-31,"얼딩(幼丁)  
約2~4歲  
偶爾能說幾句話
會挺着肚子站着  
挺着肚子走路 ​​​",274,1324,76,Josyukkk, 中国澳门,1674
124576,2024-01-31,"#士麦那与卡普里[超话]##스미르나 앤 카프리##士麥納&卡普里# 
小塔拉順利出生，二皇子也準備加冕，同時二皇子也會幫助賽斯重建國家，二胎的提奧因為蛋有點問題需要早産，知道賽斯要回自己國家時又擔心他另外納妾，但賽斯説一直只有提奧一個。
沒多久二胎出生了，而且是雙胞胎。
時間飛逝，孩子也長大 ​​​",22,1545,91,KIYOMI_223, 中国澳门,1658
